"inventory_type_id","inventory_type_description","min_order_qty","price_per_unit","inventory_sub_type","discount","min_variance","max_variance","auto_renewal_flag","erp_inventory_id","pickup_location_id","umo_value","category","face_value","min_variance_disc","max_variance_disc","tax_plan","dealer_discount","return_policy","due_date","ziada_points","esd_signature","batch_size","prefix","serial_counter","pallet_size","available","w_period","prod_family","price_group","work_category","equip_type","used_stock","sim_card","item_type","vendor_id","type_id","damage_code","service_code","v_item_type","used_item_code","w_avg_ucost","calc_wac","quantity","add_date","prevwavg_ucost","mod_date","v_item_code","v_item_no","available_date","expiry_date","consigment_po","status","DEPOSIT_PRICE","ADD_BY","MOD_BY","national_material_code","wg_material_code","SUB_CATEGORY","weight","return_flag","color","size","is_bundle","parent_id","send_to_bi","remarks"
1.0,Upfront Payment,1.0,10.0,P,0.0,,,N,UPFRONTPAYMENT,,,payment,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2022-01-01 00:00:00.000,2099-12-31 00:00:00.000,,1,,,,,,Non Voucher Product,1,,,,,,,
2.0,Deposit Amount,1.0,10.0,P,0.0,,,N,DEPOSIT,,,deposit,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2022-01-01 00:00:00.000,2099-12-31 00:00:00.000,,1,,,,,,Non Voucher Product,1,,,,,,,
3.0,Ethiopia 128k Pre-paid SIM Starter Pack – EBU DSA,,0.0,P,0.0,,,Y,ETA00004,,,sim,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2025-01-29 15:59:07.000,,2023-05-16 11:43:48.000,,,2025-01-29 15:59:07.000,2099-12-31 12:00:00.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,"",,,
4.0,BAMBA 10 Batch 1000,1.0,10.0,P,0.0,,,Y,S0200011,,,physical voucher,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2022-01-01 00:00:00.000,2099-12-31 00:00:00.000,,1,,,,,,Voucher Product,1,,,,,,,
5.0,Voucher card 15 ETB,1.0,10.0,P,0.0,,,Y,VC15,,,physical voucher,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2022-01-01 00:00:00.000,2099-12-31 00:00:00.000,,1,,,,,,Voucher Product,1,,,,,,,
6.0,BAMBA Voucher 20,1.0,10.0,P,0.0,,,Y,S0200222,,,physical voucher,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2022-01-01 00:00:00.000,2099-12-31 00:00:00.000,,1,,,,,,Voucher Product,1,,,,,,,
9.0,Voucher card 100 ETB,1.0,10.0,P,0.0,,,Y,VC100,,,physical voucher,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2022-01-01 00:00:00.000,2099-12-31 00:00:00.000,,1,,,,,,Voucher Product,1,,,,,,,
10.0,Voucher card200 ETB,1.0,20.0,P,0.0,,,Y,VC200,,,physical voucher,,,,171.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,2022-06-23 09:41:38.000,,,2021-12-31 02:00:00.000,2099-12-30 02:00:00.000,,,,,,,,Voucher Product,1,,"","","",,,
12.0,Voucher card 500 ETB,1.0,10.0,P,0.0,,,Y,VC500,,,physical voucher,,,,34.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,2022-05-20 07:24:57.000,,,2021-12-31 23:00:00.000,2099-12-30 23:00:00.000,,,,,,,,Voucher Product,1,,"","","",,,
13.0,Voucher card 1000 ETB,1.0,10.0,P,0.0,,,Y,VC1000,,,physical voucher,,,,105.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,2022-06-06 07:34:09.000,,,2021-12-31 23:00:00.000,2099-12-30 23:00:00.000,,,,,,,,Voucher Product,1,,"","","",,,
